,new_V1,new_V2
0,-35.824627,-7.649881
1,-38.66883,-13.610283
2,21.582228,0.9136537
3,-11.422064,18.751667
4,-22.841545,-9.066277
5,21.180208,11.814058
6,15.14153,-31.60193
7,-1.1839668,18.721249
8,-9.243798,-9.934598
9,-16.08399,-28.32672
10,5.499824,1.2046273
11,22.239851,12.199364
12,-15.174899,-9.924962
13,-3.7048008,15.510868
14,9.210219,-15.92215
15,7.175985,26.137312
16,-22.655872,1.242941
17,-3.4566996,15.361134
18,-28.439348,1.0391518
19,-6.5234427,32.335842
20,-6.729648,-2.6013575
21,-9.976644,-1.3113546
22,21.722807,-8.834513
23,-10.249636,-1.5684154
24,31.481707,10.240667
25,-10.234952,-1.3310016
26,-9.43812,8.038232
27,4.7176056,15.257847
28,15.785062,-6.0164394
29,-22.71595,-9.1683855
30,18.472488,35.335846
31,-19.319029,-1.2835612
32,-21.897161,-8.813599
33,-22.146868,16.832396
34,-34.7861,-3.0901592
35,-8.755895,18.734505
36,-11.924754,6.828933
37,-13.109904,22.469458
38,-26.08073,-4.077248
39,-22.117315,-16.330887
40,-6.1447573,-7.4473886
41,4.6915183,15.507058
42,18.958855,36.79689
43,5.581621,22.21833
44,24.644386,31.85731
45,-4.475555,-23.437857
46,-1.6071593,3.6006832
47,-23.607843,-23.353685
48,-19.748753,-1.2479172
49,-23.82965,20.970764
50,15.672658,32.365074
51,-11.530171,18.94293
52,-19.154161,31.945288
53,-10.333063,13.620437
54,-24.74209,-6.7372026
55,17.778215,-5.6578045
56,-9.552178,16.797401
57,-11.607178,6.301988
58,-12.483778,-11.058006
59,0.12360561,17.289211
60,31.354685,10.055051
61,-4.1524897,2.7364197
62,-4.2019396,14.748321
63,38.445976,1.7078009
64,-22.105616,-16.23963
65,-17.957716,25.205864
66,-2.4468532,-22.586449
67,-12.196757,19.742565
68,-10.737965,33.794025
69,-17.320107,11.627211
70,-22.62221,-27.249311
71,9.415304,12.95504
72,-4.2779536,-23.609146
73,4.596884,15.735797
74,12.974487,-34.650486
75,14.907421,7.629948
76,23.43129,-27.340694
77,-4.259244,15.065401
78,3.270149,-21.783974
79,-7.716326,-1.6982236
80,-34.61888,-26.805937
81,-40.17796,10.287386
82,-32.41565,18.0129
83,4.7814393,15.779729
84,2.0612223,26.11372
85,-11.916801,-8.201637
86,-17.112259,-33.53492
87,-16.750986,-28.9529
88,-24.068993,6.136333
89,-19.342445,-1.40046
90,-5.840172,-0.9897228
91,35.333046,4.0971823
92,-17.61784,11.497833
93,-40.747196,9.687843
94,3.9223783,15.141306
95,-17.067572,8.831995
96,7.177235,-24.42213
97,7.1789365,-24.420965
98,-6.391335,32.31207
99,-8.159436,-4.2167606
100,16.404,-9.269954
101,-19.323542,-1.2044249
102,9.177511,-32.13732
103,16.012367,13.695205
104,13.084055,17.777412
105,-0.081245124,18.064138
106,18.927984,23.936087
107,16.73296,20.138727
108,11.58724,11.245082
109,-16.229752,-28.468145
110,-10.271587,13.845421
111,-12.828023,18.98219
112,-8.399611,21.596283
113,4.369922,17.27624
114,-32.71375,-27.495935
115,-19.902609,-0.62053156
116,6.3312626,26.22539
117,21.468487,-0.07878713
118,8.282281,28.277454
119,16.8995,-6.0748706
120,-5.180114,-29.104652
121,-4.1626177,2.7004085
122,-5.3021717,5.8347096
123,-27.47766,0.9113337
124,9.029761,17.525108
125,-3.793556,-13.001979
126,-15.973022,14.074755
127,-18.364876,13.146735
128,-34.925583,-28.592941
129,-0.74483126,12.448866
130,-3.2143898,15.607601
131,-26.432116,12.604191
132,-27.330818,0.8154672
133,-23.025215,1.1451362
134,-14.3514805,31.32905
135,-0.14972924,8.793055
