ID,Class
AAAA0x1,0.0
AAAA0x2,0.0
AAAA0x5,0.0
AAAA0x7,0.0
AAAA0xc,0.0
AAAA0xd,0.0
AAA0x11,0.0
AAA0x15,0.0
AAA0x17,0.0
AAA0x19,0.0
AAA0x1b,0.0
AAA0x1d,0.0
AAA0x1f,0.0
AAA0x20,0.0
AAA0x22,0.0
AAA0x23,0.0
AAA0x24,0.0
AAA0x27,0.0
AAA0x28,0.0
AAA0x2a,0.0
AAA0x2b,0.0
AAA0x2d,0.0
AAA0x32,0.0
AAA0x35,0.0
AAA0x36,0.0
AAA0x37,0.0
AAA0x3d,0.0
AAA0x3e,0.0
AAA0x47,0.0
AAA0x4d,0.0
AAA0x4e,0.0
AAA0x50,0.0
AAA0x51,0.0
AAA0x55,0.0
AAA0x58,0.0
AAA0x59,0.0
AAA0x5a,0.0
AAA0x5c,0.0
AAA0x61,0.0
AAA0x62,0.0
AAA0x65,0.0
AAA0x66,0.0
AAA0x67,0.0
AAA0x68,0.0
AAA0x6a,0.0
AAA0x6b,0.0
AAA0x6c,0.0
AAA0x6e,0.0
AAA0x6f,0.0
AAA0x70,0.0
AAA0x71,0.0
AAA0x72,0.0
AAA0x73,0.0
AAA0x74,0.0
AAA0x76,0.0
AAA0x77,0.0
AAA0x78,0.0
AAA0x79,0.0
AAA0x7a,0.0
AAA0x7c,0.0
AAA0x7d,0.0
AAA0x80,0.0
AAA0x81,0.0
AAA0x82,0.0
AAA0x83,0.0
AAA0x84,0.0
AAA0x87,0.0
AAA0x88,0.0
AAA0x8c,0.0
AAA0x8d,0.0
AAA0x8f,0.0
AAA0x90,0.0
AAA0x91,0.0
AAA0x92,0.0
AAA0x94,0.0
AAA0x96,0.0
AAA0x98,0.0
AAA0x9c,0.0
AAA0x9d,0.0
AAA0x9f,0.0
AAA0xa2,0.0
AAA0xa5,0.0
AAA0xa6,0.0
AAA0xa8,0.0
AAA0xab,0.0
AAA0xad,0.0
AAA0xaf,0.0
AAA0xb0,0.0
AAA0xb5,0.0
AAA0xb8,0.0
AAA0xba,0.0
AAA0xbb,0.0
AAA0xc4,0.0
AAA0xc5,0.0
AAA0xc6,0.0
AAA0xc7,0.0
AAA0xca,0.0
AAA0xcd,0.0
AAA0xcf,0.0
AAA0xd1,0.0
AAA0xd4,0.0
AAA0xd6,0.0
AAA0xdc,0.0
AAA0xde,0.0
AAA0xdf,0.0
AAA0xe2,0.0
AAA0xe3,0.0
AAA0xec,0.0
AAA0xee,0.0
AAA0xef,0.0
AAA0xf0,0.0
AAA0xf3,0.0
AAA0xf4,0.0
AAA0xf9,0.0
AAA0xff,0.0
AA0x101,0.0
AA0x105,0.0
AA0x106,0.0
AA0x107,0.0
AA0x108,0.0
AA0x109,0.0
AA0x10a,0.0
AA0x10c,0.0
AA0x10f,0.0
AA0x110,0.0
AA0x111,0.0
AA0x112,0.0
AA0x113,0.0
AA0x115,0.0
AA0x116,0.0
AA0x11b,0.0
AA0x11c,0.0
AA0x11e,0.0
AA0x11f,0.0
AA0x120,0.0
AA0x121,0.0
AA0x122,0.0
AA0x124,0.0
AA0x128,0.0
AA0x12a,0.0
AA0x12b,0.0
AA0x12d,0.0
AA0x12e,0.0
AA0x12f,0.0
AA0x130,0.0
AA0x131,0.0
AA0x132,0.0
AA0x133,0.0
AA0x134,0.0
AA0x135,0.0
AA0x136,0.0
AA0x13a,0.0
AA0x13b,0.0
AA0x13e,0.0
AA0x140,0.0
AA0x142,0.0
AA0x143,0.0
AA0x144,0.0
AA0x145,0.0
AA0x147,0.0
AA0x148,0.0
AA0x149,0.0
AA0x14a,0.0
AA0x14c,0.0
AA0x14d,0.0
AA0x14e,0.0
AA0x14f,0.0
AA0x152,0.0
AA0x153,0.0
AA0x15e,0.0
AA0x15f,0.0
AA0x160,0.0
AA0x162,0.0
AA0x163,0.0
AA0x164,0.0
AA0x165,0.0
AA0x167,0.0
AA0x16a,0.0
AA0x16b,0.0
AA0x16f,0.0
AA0x170,0.0
AA0x172,0.0
AA0x174,0.0
AA0x179,0.0
AA0x17b,0.0
AA0x17d,0.0
AA0x17f,0.0
AA0x181,0.0
AA0x182,0.0
AA0x183,0.0
AA0x185,0.0
AA0x188,0.0
AA0x18b,0.0
AA0x18d,0.0
AA0x18e,0.0
AA0x190,0.0
AA0x191,0.0
AA0x192,0.0
AA0x193,0.0
AA0x196,0.0
AA0x197,0.0
AA0x199,0.0
AA0x19e,0.0
AA0x1a1,0.0
AA0x1a2,0.0
AA0x1a4,0.0
AA0x1a7,0.0
AA0x1a8,0.0
AA0x1ac,0.0
AA0x1ad,0.0
AA0x1af,0.0
AA0x1b0,0.0
AA0x1b2,0.0
AA0x1b5,0.0
AA0x1b7,0.0
AA0x1ba,0.0
AA0x1bb,0.0
AA0x1bd,0.0
AA0x1be,0.0
AA0x1bf,0.0
AA0x1c0,0.0
AA0x1c3,0.0
AA0x1c5,0.0
AA0x1c6,0.0
AA0x1ca,0.0
AA0x1cb,0.0
AA0x1cc,0.0
AA0x1cd,0.0
AA0x1d0,0.0
AA0x1d1,0.0
AA0x1d2,0.0
AA0x1d3,0.0
AA0x1d8,0.0
AA0x1d9,0.0
AA0x1da,0.0
AA0x1db,0.0
AA0x1dd,0.0
AA0x1de,0.0
AA0x1df,0.0
AA0x1e2,0.0
AA0x1e4,0.0
AA0x1e6,0.0
AA0x1e9,0.0
AA0x1ea,0.0
AA0x1eb,0.0
AA0x1ec,0.0
AA0x1ee,0.0
AA0x1ef,0.0
AA0x1f3,0.0
AA0x1f4,0.0
AA0x1f5,0.0
AA0x1f6,0.0
AA0x1f7,0.0
AA0x1f9,0.0
AA0x1fa,0.0
AA0x1fb,0.0
AA0x1fd,0.0
AA0x1fe,0.0
AA0x1ff,0.0
AA0x200,0.0
AA0x201,0.0
AA0x202,0.0
AA0x205,0.0
AA0x206,0.0
AA0x207,0.0
AA0x208,0.0
AA0x209,0.0
AA0x20a,0.0
AA0x20b,0.0
AA0x20c,0.0
AA0x20d,0.0
AA0x210,0.0
AA0x211,0.0
AA0x21c,0.0
AA0x21e,0.0
AA0x21f,0.0
AA0x222,0.0
AA0x224,0.0
AA0x226,0.0
AA0x227,0.0
AA0x228,0.0
AA0x22c,0.0
AA0x232,0.0
AA0x233,0.0
AA0x234,0.0
AA0x235,0.0
AA0x236,0.0
AA0x237,0.0
AA0x239,0.0
AA0x23b,0.0
AA0x23e,0.0
AA0x23f,0.0
AA0x241,0.0
AA0x243,0.0
AA0x244,0.0
AA0x247,0.0
AA0x248,0.0
AA0x249,0.0
AA0x24b,0.0
AA0x24e,0.0
AA0x24f,0.0
AA0x250,0.0
AA0x253,0.0
AA0x255,0.0
AA0x256,0.0
AA0x257,0.0
AA0x25c,0.0
AA0x263,0.0
AA0x265,0.0
AA0x266,0.0
AA0x26a,0.0
AA0x26c,0.0
AA0x26d,0.0
AA0x26e,0.0
AA0x26f,0.0
AA0x274,0.0
AA0x276,0.0
AA0x278,0.0
AA0x279,0.0
AA0x27a,0.0
AA0x27b,0.0
AA0x27d,0.0
AA0x285,0.0
AA0x287,0.0
AA0x28a,0.0
AA0x28e,0.0
AA0x28f,0.0
AA0x290,0.0
AA0x292,0.0
AA0x293,0.0
AA0x294,0.0
AA0x295,0.0
AA0x296,0.0
AA0x297,0.0
AA0x299,0.0
AA0x29a,0.0
AA0x29c,0.0
AA0x29d,0.0
AA0x29f,0.0
AA0x2a0,0.0
AA0x2a2,0.0
AA0x2a3,0.0
AA0x2a4,0.0
AA0x2a5,0.0
AA0x2a6,0.0
AA0x2a7,0.0
AA0x2a8,0.0
AA0x2aa,0.0
AA0x2ad,0.0
AA0x2af,0.0
AA0x2b1,0.0
AA0x2b2,0.0
AA0x2b4,0.0
AA0x2b5,0.0
AA0x2b6,0.0
AA0x2b7,0.0
AA0x2bb,0.0
AA0x2bc,0.0
AA0x2bd,0.0
AA0x2bf,0.0
AA0x2c0,0.0
AA0x2c3,0.0
AA0x2c4,0.0
AA0x2c7,0.0
AA0x2c9,0.0
AA0x2ca,0.0
AA0x2cb,0.0
AA0x2cc,0.0
AA0x2ce,0.0
AA0x2cf,0.0
AA0x2d1,0.0
AA0x2d3,0.0
AA0x2d4,0.0
AA0x2d7,0.0
AA0x2dd,0.0
AA0x2de,0.0
AA0x2e1,0.0
AA0x2e2,0.0
AA0x2ed,0.0
AA0x2f2,0.0
